# Solution to run  11
  9.70,183.6118,20900.1270, 25.7775,  1.5370
  9.80,186.9587,21376.2937, 25.5923,  1.5371
  9.90,190.3401,21857.5789, 25.4038,  1.5371
 10.00,193.7559,22343.8800, 25.2119,  1.5371
 10.10,197.2061,22835.0872, 25.0165,  1.5371
 10.20,200.6909,23331.0844, 24.8177,  1.5371
 10.30,204.2101,23831.7507, 24.6153,  1.5370
 10.40,207.7637,24336.9566, 24.4095,  1.5370
 10.50,211.3517,24846.5666, 24.2000,  1.5370
 10.60,214.9742,25360.4386, 23.9870,  1.5369
 10.70,218.6310,25878.4248, 23.7703,  1.5369
 10.80,222.3222,26400.3699, 23.5500,  1.5368
 10.90,226.0477,26926.1106, 23.3259,  1.5367
 11.00,229.8074,27455.4762, 23.0981,  1.5367
 11.10,233.6014,27988.2899, 22.8666,  1.5366
 11.20,237.4295,28524.3672, 22.6312,  1.5365
 11.30,241.2916,29063.5146, 22.3920,  1.5363
 11.40,245.1878,29605.5337, 22.1489,  1.5362
 11.50,249.1180,30150.2180, 21.9019,  1.5361
 11.60,253.0820,30697.3493, 21.6509,  1.5359
 11.70,257.0797,31246.7034, 21.3960,  1.5358
 11.80,261.1111,31798.0451, 21.1371,  1.5356
 11.90,265.1761,32351.1337, 20.8741,  1.5354
 12.00,269.2745,32905.7181, 20.6071,  1.5352
 12.10,273.4063,33461.5397, 20.3359,  1.5350
 12.20,277.5713,34018.3306, 20.0606,  1.5348
 12.30,281.7693,34575.8113, 19.7811,  1.5345
 12.40,286.0003,35133.6985, 19.4974,  1.5343
 12.50,290.2640,35691.6986, 19.2095,  1.5340
 12.60,294.5604,36249.5070, 18.9173,  1.5337
 12.70,298.8892,36806.8030, 18.6207,  1.5333
 12.80,303.2503,37363.2683, 18.3199,  1.5330
 12.90,307.6436,37918.5712, 18.0147,  1.5326
 13.00,312.0687,38472.3686, 17.7050,  1.5322
 13.10,316.5255,39024.3015, 17.3910,  1.5318
 13.20,321.0139,39574.0097, 17.0725,  1.5314
 13.30,325.5335,40121.1201, 16.7494,  1.5309
 13.40,330.0843,40665.2439, 16.4219,  1.5304
 13.50,334.6658,41205.9880, 16.0898,  1.5298
 13.60,339.2779,41742.9473, 15.7531,  1.5293
 13.70,343.9203,42275.7032, 15.4118,  1.5286
 13.80,348.5928,42803.8285, 15.0659,  1.5280
 13.90,353.2951,43326.8858, 14.7153,  1.5273
 14.00,358.0268,43844.4265, 14.3600,  1.5265
 14.10,362.7878,44355.9833, 13.9999,  1.5257
 14.20,367.5776,44861.0542, 13.6351,  1.5248
 14.30,372.3959,45359.1942, 13.2655,  1.5239
 14.40,377.2425,45849.9491, 12.8911,  1.5229
 14.50,382.1170,46332.7721, 12.5119,  1.5218
 14.60,387.0190,46807.1362, 12.1278,  1.5206
 14.70,391.9481,47272.5168, 11.7388,  1.5193
 14.80,396.9040,47728.3757, 11.3449,  1.5179
 14.90,401.8862,48174.1600, 10.9461,  1.5163
 15.00,406.8943,48609.3064, 10.5423,  1.5147
 15.10,411.9280,49033.2394, 10.1336,  1.5128
 15.20,416.9866,49445.3724,  9.7199,  1.5108
 15.30,422.0698,49845.1078,  9.3011,  1.5086
